flyid,name,vp1m_25Hz
720575940606745289,,34.43333333333333
720575940606747593,,44.1
720575940606751922,,230.96666666666667
720575940606756030,,29.033333333333335
720575940606756785,,99.2
720575940606757041,,97.53333333333333
720575940606761161,,76.73333333333333
720575940606762686,,186.13333333333333
720575940606767806,,101.2
720575940606769609,,114.16666666666667
720575940606769854,,135.66666666666666
720575940606773705,,65.13333333333334
720575940606775654,,41.666666666666664
720575940606776962,,17.833333333333332
720575940606796722,,23.933333333333334
720575940606806473,,36.93333333333333
720575940606833794,,69.16666666666667
720575940606835401,,12.166666666666666
720575940606853250,,45.5
720575940606864341,,41.1
720575940606865330,,8.7
720575940606891221,,65.73333333333333
720575940606892162,,35.43333333333333
720575940606893186,,16.233333333333334
720575940606909195,,49.53333333333333
720575940606940425,,65.96666666666667
720575940606941397,,47.2
720575940606947714,,34.36666666666667
720575940606953858,,68.5
720575940606954114,,68.06666666666666
720575940606954507,,55.7
720575940606963586,,61.63333333333333
720575940606967682,,58.4
720575940606967730,,73.76666666666667
720575940606968450,,19.133333333333333
720575940606968962,,44.63333333333333
720575940606987906,,14.566666666666666
720575940606999682,,56.733333333333334
720575940607010825,,31.033333333333335
720575940607011458,,1.3666666666666667
720575940607012482,,42.166666666666664
720575940607030281,,0.03333333333333333
720575940607038386,,2.4
720575940607040881,,59.266666666666666
720575940607041154,,38.333333333333336
720575940607043202,,11.433333333333334
720575940607128412,,4.266666666666667
720575940607146162,,36.13333333333333
720575940607177906,,54.86666666666667
720575940607180722,,82.3
720575940607185074,,51.93333333333333
720575940607206066,,1.3666666666666667
720575940607208882,,63.56666666666667
720575940607227826,,49.266666666666666
720575940607233458,,18.8
720575940607249365,,33.6
720575940607280306,,45.43333333333333
720575940607280818,,40.833333333333336
720575940607310531,,35.266666666666666
720575940607337155,,62.46666666666667
720575940607337923,,60.7
720575940607343829,,0.4
720575940607351747,,35.13333333333333
720575940607352003,,40.9
720575940607375881,,12.4
720575940607384242,,3.433333333333333
720575940607439964,,118.43333333333334
720575940607447491,,0.4
720575940607451081,,58.0
720575940607471829,,26.766666666666666
720575940607484099,,90.96666666666667
720575940607539907,,7.9
720575940607626453,,30.366666666666667
720575940607667723,,66.83333333333333
720575940607674563,,26.166666666666668
720575940607687260,,71.2
720575940607715420,,49.7
720575940607721923,,36.53333333333333
720575940607722179,,34.233333333333334
