flyid,name,vp1d_15Hz
720575940605451552,,2.4011571284602673
720575940605452064,,1.6478942792411033
720575940605462961,,0.24944382578492943
720575940605480806,,1.869046102516825
720575940605488416,,2.8442925306655784
720575940605494560,,2.3900255693657804
720575940605507249,,2.422120283277993
720575940605513649,,1.5595583420386112
720575940605520062,,1.16619037896906
720575940605528422,,3.1841621957571333
720575940605530336,,0.8406346808612328
720575940605541920,,2.7529781853274624
720575940605544370,,2.9927690633703543
720575940605551038,,2.7778888866667555
720575940605551718,,1.9136933459209766
720575940605552742,,1.4996295838935991
720575940605565886,,1.1944315244779278
720575940605583136,,2.902872140943632
720575940605606274,,2.9719054867579855
720575940605619744,,3.3929665813594783
720575940605620670,,1.7962924780409975
720575940605620926,,3.978972508352153
720575940605621024,,2.757817172249741
720575940605625376,,3.537733109712427
720575940605625958,,3.4514087301016994
720575940605627057,,2.201262264146541
720575940605641830,,1.6041612554021285
720575940605658033,,3.1164438423020266
720575940605664446,,1.2023125864580955
720575940605664702,,4.800925836637022
720575940605678368,,4.417641401874484
720575940605686886,,1.0873004286866728
720575940605688608,,6.267109913402401
720575940605702065,,1.7451520150277902
720575940605702944,,1.491084616423003
720575940605705650,,4.381780460041329
720575940605718449,,3.6124783736376886
720575940605726385,,2.9927690633703543
720575940605742002,,1.619670748434179
720575940605758142,,15.092897520209814
720575940605777841,,0.24944382578492943
720575940605841074,,3.9832984656772417
720575940605842656,,8.265322471359212
720575940605877728,,3.4890304288345404
720575940605882336,,4.142463035441596
720575940605883569,,12.021323646846144
720575940605891040,,2.3853720883753127
720575940605927904,,2.1501937897160186
720575940605929394,,1.6519348924485153
720575940605934001,,2.3084386257574376
720575940605947569,,6.436009805945157
720575940605957809,,2.4440403706431146
720575940605992369,,2.7946377224964243
720575940605993649,,1.0934146311237818
720575940605997257,,1.530795000427338
720575940606009801,,1.61245154965971
720575940606010057,,1.4302291968616625
720575940606015154,,1.7026123718829511
720575940606039241,,1.4236104336041748
720575940606046892,,2.5999999999999996
720575940606056905,,16.554321355934693
720575940606112940,,3.363364717395695
720575940606139308,,3.081125335544358
720575940606149321,,4.221637386396683
720575940606179686,,1.521694961401777
720575940606185858,,2.855987861785597
720575940606195657,,1.3097921802925667
720575940606246334,,8.372972391371338
720575940606267659,,6.002684584602311
720575940606319794,,1.5260697523012794
720575940606331996,,2.9769484749021475
720575940606335106,,2.612789058968723
720575940606337312,,5.3645958737717505
720575940606341250,,2.902872140943632
720575940606342089,,1.8882678717691397
720575940606347394,,2.5709920264364885
720575940606354633,,0.9865765724632494
720575940606373321,,1.7009801096230763
720575940606385440,,8.302342373624981
720575940606399068,,4.547160286010013
720575940606428850,,0.5962847939999438
720575940606436128,,4.468283289536996
720575940606452681,,2.893671255228094
720575940606453769,,2.609597670139978
720575940606454108,,3.22076595444831
720575940606464102,,0.33993463423951903
720575940606477660,,2.096558025802185
720575940606483467,,3.6210802562525757
720575940606483723,,3.0876096471758427
720575940606498313,,3.189566323708183
720575940606514878,,4.507278065036099
720575940606514889,,1.1055415967851334
720575940606548914,,0.24944382578492943
720575940606549961,,2.9408993333483697
720575940606563249,,1.764149149653232
720575940606573490,,2.29128784747792
720575940606590338,,9.367852831181043
720575940606602674,,1.8917951498216947
720575940606611977,,1.586050300449376
720575940606621362,,2.9544693074880453
720575940606649865,,5.678810517079161
720575940606662322,,3.85342560443158
720575940606663625,,2.9431653406192155
720575940606664894,,9.666034462085381
720575940606667977,,2.7170245163086437
720575940606675804,,3.341490020268736
720575940606679142,,2.642389491014188
720575940606680450,,2.373230334843675
720575940606687499,,4.728283691432512
720575940606700043,,1.3249737942901192
720575940606705073,,4.597704741377908
720575940606715337,,4.004025751942939
720575940606722249,,14.96425370303808
720575940606725833,,3.4674678561355594
720575940606726834,,2.5811280910141257
720575940606729858,,2.2261077142751997
720575940606730076,,1.8089284734953515
720575940606745289,,2.167692065051881
720575940606747593,,2.603629944690468
720575940606751922,,13.040151669192944
720575940606756030,,1.8547236990991407
720575940606756785,,5.5298181605626855
720575940606757041,,5.483814568548268
720575940606761161,,4.3615746392023755
720575940606762686,,10.324996637072362
720575940606767806,,5.641118880348315
720575940606769609,,6.692948196090835
720575940606769854,,7.794870107962031
720575940606773705,,3.8291281282065013
720575940606775654,,2.4129281427805145
720575940606776962,,1.7641491496532322
720575940606796722,,1.3646326326972478
720575940606806473,,2.1860669909426123
720575940606833794,,4.19271855588816
720575940606835401,,1.3063945294843617
720575940606853250,,2.871507540570903
720575940606864341,,2.3626726862225795
720575940606865330,,3.069563848859023
720575940606891221,,4.060651288757616
720575940606892162,,2.2647050335284042
720575940606893186,,1.3535960336164634
720575940606909195,,2.9709706606876254
720575940606940425,,3.8591881702416813
720575940606941397,,2.8341175385333304
720575940606947714,,1.896195020443719
720575940606953858,,5.0767443635989125
720575940606954114,,3.699849846803095
720575940606954507,,3.272104317815474
720575940606963586,,3.5055511533693084
720575940606967682,,3.353439362140839
720575940606967730,,4.3
720575940606968450,,1.2631530214330942
720575940606968962,,2.5623340054636814
720575940606987906,,1.0873004286866728
720575940606999682,,3.273462319250911
720575940607010825,,1.93362066830309
720575940607011458,,1.3085190950927015
