flyid,name,vp1l_75Hz
720575940605030316,,28.766666666666666
720575940605031084,,22.566666666666666
720575940605032550,,77.26666666666667
720575940605037996,,6.3
720575940605039788,,2.2333333333333334
720575940605060798,,75.26666666666667
720575940605078560,,120.03333333333333
720575940605083838,,52.5
720575940605102694,,145.76666666666668
720575940605113376,,47.3
720575940605154988,,46.9
720575940605171121,,5.466666666666667
720575940605180337,,62.56666666666667
720575940605180849,,28.633333333333333
720575940605184102,,54.03333333333333
720575940605196465,,30.466666666666665
720575940605197745,,44.93333333333333
720575940605221065,,10.833333333333334
720575940605236866,,58.166666666666664
720575940605252041,,43.9
720575940605264305,,134.0
720575940605280201,,53.766666666666666
720575940605290441,,42.7
720575940605305777,,17.933333333333334
720575940605309361,,83.9
720575940605309542,,39.46666666666667
720575940605312945,,55.4
720575940605338290,,34.36666666666667
720575940605362610,,52.93333333333333
720575940605376800,,18.8
720575940605383526,,85.7
720575940605391136,,49.96666666666667
720575940605391794,,32.166666666666664
720575940605396926,,48.233333333333334
720575940605400096,,132.73333333333332
720575940605407846,,47.5
720575940605410592,,80.5
720575940605411104,,52.333333333333336
720575940605412738,,78.53333333333333
720575940605420902,,91.6
720575940605421442,,68.53333333333333
720575940605427134,,92.23333333333333
720575940605431840,,74.8
720575940605451552,,41.0
720575940605452064,,26.6
720575940605480806,,28.433333333333334
720575940605488416,,51.06666666666667
720575940605494560,,4.9
720575940605507249,,38.333333333333336
720575940605513649,,2.533333333333333
720575940605520062,,19.533333333333335
720575940605528422,,53.96666666666667
720575940605530336,,1.2666666666666666
720575940605541920,,45.9
720575940605544370,,48.833333333333336
720575940605551038,,47.36666666666667
720575940605551718,,32.06666666666667
720575940605552742,,27.0
720575940605565886,,13.966666666666667
720575940605583136,,48.43333333333333
720575940605606274,,51.86666666666667
720575940605619744,,61.333333333333336
720575940605620670,,31.9
720575940605620926,,74.86666666666666
720575940605621024,,45.0
720575940605625376,,66.76666666666667
720575940605625958,,56.13333333333333
720575940605627057,,39.96666666666667
720575940605641830,,17.833333333333332
720575940605658033,,33.56666666666667
720575940605664446,,15.333333333333334
720575940605664702,,88.2
720575940605678368,,75.0
720575940605686886,,17.866666666666667
720575940605688608,,111.46666666666667
720575940605702065,,29.333333333333332
720575940605702944,,7.066666666666666
720575940605705650,,79.9
720575940605718449,,64.0
720575940605725873,,0.13333333333333333
720575940605726385,,54.0
720575940605742002,,25.733333333333334
720575940605758142,,268.8666666666667
720575940605777841,,0.1
720575940605841074,,73.53333333333333
720575940605842656,,117.93333333333334
720575940605877728,,60.266666666666666
720575940605882336,,71.33333333333333
720575940605883569,,225.96666666666667
720575940605891040,,38.3
720575940605925600,,0.03333333333333333
720575940605927904,,30.9
720575940605929394,,28.933333333333334
720575940605934001,,40.03333333333333
720575940605947569,,117.76666666666667
720575940605957809,,43.3
720575940605992369,,46.266666666666666
720575940605993649,,19.933333333333334
720575940605997257,,25.2
720575940606009801,,27.533333333333335
720575940606010057,,12.8
720575940606015154,,12.066666666666666
720575940606039241,,23.4
720575940606046892,,39.93333333333333
720575940606056905,,287.9
720575940606112940,,44.0
720575940606139308,,57.1
720575940606149321,,54.46666666666667
720575940606179686,,28.366666666666667
720575940606185858,,46.766666666666666
720575940606195657,,20.833333333333332
720575940606246334,,160.4
720575940606267659,,108.16666666666667
720575940606319794,,5.533333333333333
720575940606331996,,49.46666666666667
720575940606335106,,49.733333333333334
720575940606337312,,99.1
720575940606341250,,53.06666666666667
720575940606342089,,10.866666666666667
720575940606347394,,43.5
720575940606354633,,13.0
720575940606373321,,5.3
720575940606385440,,151.3
720575940606399068,,79.46666666666667
720575940606428850,,0.23333333333333334
720575940606436128,,78.46666666666667
720575940606452681,,51.666666666666664
720575940606453769,,39.5
720575940606454108,,54.733333333333334
720575940606464102,,0.16666666666666666
720575940606477660,,36.1
720575940606483467,,64.53333333333333
720575940606483723,,51.2
720575940606498313,,60.2
720575940606514878,,80.16666666666667
720575940606514889,,16.7
