,root_id,const,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,sense_syn_count,upstream_sensoryN,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
127,720575940628338028,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,59.0,3.0,intrinsic,central,ALPN,multiglomerular,,VP1l+VP3_ilPN,putative_primary,right,
128,720575940628346194,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,71.0,6.0,intrinsic,central,ALPN,uniglomerular,,VP1l+_lvPN,ALlv1,left,
129,720575940628352850,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,82.0,4.0,efferent,descending,,,,DNb05,putative_primary,left,CV
130,720575940628352850,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,89.0,3.0,efferent,descending,,,,DNb05,putative_primary,left,CV
131,720575940628861188,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,93.0,9.0,intrinsic,central,,,,OA-VUMa5,MX0__prim,center,
132,720575940628861188,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,21.0,3.0,intrinsic,central,,,,OA-VUMa5,MX0__prim,center,
133,720575940628914436,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,27.0,5.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
134,720575940628914436,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,22.0,4.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
135,720575940628914692,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,6.0,1.0,intrinsic,central,ALLN,,LN60b,,ALl1_dorsal,left,
136,720575940628954112,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,118.0,9.0,intrinsic,central,ALPN,multiglomerular,,M_lPNm11D,ALl1_ventral,left,
137,720575940629011655,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,191.0,9.0,intrinsic,central,ALPN,uniglomerular,,VP1d_il2PN,putative_primary,left,
138,720575940629064764,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,120.0,10.0,intrinsic,central,ALLN,,CB3326,,ALv2,left,
139,720575940629064764,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,6.0,1.0,intrinsic,central,ALLN,,CB3326,,ALv2,left,
140,720575940630432815,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,22.0,3.0,intrinsic,central,ALPN,multiglomerular,,M_lvPNm35,ALlv1,left,
141,720575940630584079,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,11.0,2.0,intrinsic,central,ALPN,uniglomerular,,VP1l+_lvPN,ALlv1,left,
142,720575940631619921,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,53.0,7.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
143,720575940631619921,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,48.0,5.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
144,720575940631942341,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,10.0,2.0,intrinsic,central,,,,OA-VUMa2,MD0__prim,center,
145,720575940631975884,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,38.0,6.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
146,720575940631975884,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,22.0,2.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
147,720575940632094415,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,28.0,4.0,intrinsic,central,ALLN,,CB3172,,ALv2,left,
148,720575940632198442,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN2X02,,ALl1_dorsal,left,
149,720575940632795532,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,135.0,16.0,intrinsic,central,ALLN,,,lLN2F_b,ALl1_dorsal,left,
150,720575940632795532,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,312.0,11.0,intrinsic,central,ALLN,,,lLN2F_b,ALl1_dorsal,left,
151,720575940633074145,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,17.0,2.0,intrinsic,central,ALPN,multiglomerular,,VP3+_l2PN,ALl1_ventral,left,
152,720575940633074145,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,532.0,4.0,intrinsic,central,ALPN,multiglomerular,,VP3+_l2PN,ALl1_ventral,left,
153,720575940633212441,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,62.0,9.0,intrinsic,central,ALLN,,lLN2X07,,ALl1_dorsal,left,
154,720575940633212441,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,34.0,3.0,intrinsic,central,ALLN,,lLN2X07,,ALl1_dorsal,left,
155,720575940633372185,1,non activated,hygro,non activated,non activated,non activated,non activated,non activated,non activated,activated,15.0,2.0,intrinsic,central,ALLN,,,v2LN4,ALv2,left,
156,720575940633372185,1,non activated,thermo,non activated,non activated,non activated,non activated,activated,activated,activated,19.0,2.0,intrinsic,central,ALLN,,,v2LN4,ALv2,left,
157,720575940633625184,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,113.0,9.0,intrinsic,central,ALLN,,CB3326,,ALv2,left,
158,720575940633625184,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,7.0,1.0,intrinsic,central,ALLN,,CB3326,,ALv2,left,
159,720575940633831264,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,104.0,4.0,intrinsic,central,ALLN,,,v2LN38,ALv2,right,
160,720575940634545890,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,7.0,1.0,intrinsic,central,ALLN,,,lLN2F_b,ALl1_dorsal,right,
161,720575940635945919,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,38.0,5.0,intrinsic,central,ALLN,,,v2LN30,ALv2,left,
162,720575940636576948,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,42.0,7.0,intrinsic,central,,,,OA-VUMa2,MX0__prim,center,
163,720575940637136752,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,22.0,3.0,intrinsic,central,ALLN,,lLN2X04,,ALl1_dorsal,right,
164,720575940637623780,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN2X03,lLN2T_a,ALl1_dorsal,right,
165,720575940637712243,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,193.0,13.0,intrinsic,central,ALPN,multiglomerular,,VP4+VL1_l2PN,ALl1_ventral,left,
166,720575940637712243,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,10.0,1.0,intrinsic,central,ALPN,multiglomerular,,VP4+VL1_l2PN,ALl1_ventral,left,
167,720575940638022515,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,63.0,8.0,intrinsic,central,ALLN,,v2LN39a,,ALv2,right,
168,720575940638128474,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,415.0,27.0,intrinsic,central,ALLN,,,lLN2F_a,ALl1_dorsal,left,
169,720575940638128474,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,224.0,13.0,intrinsic,central,ALLN,,,lLN2F_a,ALl1_dorsal,left,
170,720575940638778165,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,155.0,9.0,intrinsic,central,ALPN,multiglomerular,,M_lPNm11D,ALl1_ventral,left,
171,720575940638853454,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,47.0,7.0,intrinsic,central,ALLN,,v2LN42c,v2LN42,ALv2,left,
172,720575940638853454,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,6.0,1.0,intrinsic,central,ALLN,,v2LN42c,v2LN42,ALv2,left,
173,720575940639594611,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,17.0,3.0,intrinsic,central,ALPN,multiglomerular,CB3228,,ALv1,left,
174,720575940639878589,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,183.0,9.0,intrinsic,central,ALLN,,CB3417,,ALv2,left,
175,720575940639878589,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,18.0,3.0,intrinsic,central,ALLN,,CB3417,,ALv2,left,
176,720575940640803200,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,33.0,4.0,intrinsic,central,ALLN,,,lLN2F_a,ALl1_dorsal,right,
177,720575940640830453,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,7.0,1.0,intrinsic,central,ALLN,,lLN2X03,lLN2T_a,ALl1_dorsal,left,
178,720575940640830453,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,31.0,5.0,intrinsic,central,ALLN,,lLN2X03,lLN2T_a,ALl1_dorsal,left,
179,720575940641592795,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,135.0,17.0,intrinsic,central,ALLN,,lLN2X06,,ALl1_dorsal,left,
180,720575940641592795,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,56.0,4.0,intrinsic,central,ALLN,,lLN2X06,,ALl1_dorsal,left,
181,720575940641773472,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,76.0,9.0,intrinsic,central,ALLN,,v2LN39a,,ALv2,left,
182,720575940643869988,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,9.0,1.0,intrinsic,central,ALLN,,CB2345,,ALv2,left,
183,720575940644238871,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,159.0,9.0,intrinsic,central,ALPN,multiglomerular,,M_lPNm11D,ALl1_ventral,left,
184,720575940644362788,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,75.0,11.0,intrinsic,central,ALLN,,,lLN2P_a,ALl1_dorsal,left,
185,720575940644362788,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,31.0,3.0,intrinsic,central,ALLN,,,lLN2P_a,ALl1_dorsal,left,
186,720575940644704160,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN2X03,lLN2T_a,ALl1_dorsal,left,
187,720575940644704160,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN2X03,lLN2T_a,ALl1_dorsal,left,
188,720575940644750116,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALON,,ALON2,,putative_primary,left,
189,720575940644750116,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,15.0,1.0,intrinsic,central,ALON,,ALON2,,putative_primary,left,
