,root_id,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
780,720575940607510027,afferent,sensory,olfactory,,ORN_VM6l,ORN_VC5,,left,AN
781,720575940614735372,afferent,sensory,olfactory,,,ORN_DM2,,left,AN
785,720575940626253331,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,left,AN
791,720575940620822049,afferent,sensory,olfactory,,,ORN_VA2,,left,AN
793,720575940645824035,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
800,720575940646094388,afferent,sensory,olfactory,,,ORN_V,,right,AN
811,720575940615833174,afferent,sensory,olfactory,,,ORN_VC4,,left,AN
818,720575940629710444,afferent,sensory,olfactory,,,ORN_DC1,,right,AN
820,720575940643980910,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
826,720575940631217782,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
827,720575940629390970,afferent,sensory,olfactory,,ORN_VM6l,ORN_VC5,,right,AN
836,720575940627465871,afferent,sensory,olfactory,,,ORN_DC1,,left,AN
837,720575940623353488,afferent,sensory,olfactory,,,ORN_DL5,,left,AN
841,720575940613637782,afferent,sensory,olfactory,,,ORN_DP1l,,right,AN
844,720575940617234077,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
866,720575940621862605,afferent,sensory,olfactory,,,ORN_DC1,,left,AN
868,720575940630496975,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
879,720575940617340646,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
880,720575940623607527,afferent,sensory,olfactory,,,ORN_DL2d,,right,AN
884,720575940624951020,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
888,720575940629178108,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
894,720575940607960843,afferent,sensory,olfactory,,,ORN_DC4,,left,AN
896,720575940607239947,afferent,sensory,olfactory,,,ORN_V,,left,AN
900,720575940627171089,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,right,AN
901,720575940619314964,afferent,sensory,olfactory,,,ORN_VC4,,right,AN
907,720575940632192799,afferent,sensory,olfactory,,,ORN_DC4,,left,AN
909,720575940645431075,afferent,sensory,olfactory,,,ORN_D,,left,AN
912,720575940624500519,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
923,720575940647978804,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
924,720575940638402357,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
936,720575940628408143,afferent,sensory,olfactory,,,ORN_VC4,,right,AN
941,720575940625712985,afferent,sensory,olfactory,,,ORN_VM3,,left,AN
963,720575940616439697,afferent,sensory,olfactory,,,ORN_VM7d,,right,MxLbN
